id;name
1;Przysiad
2;Martwy ciąg
3;Wyciskanie nogami
4;Wykrok
5;Prostowanie nóg
6;Uginanie nóg
7;Wspięcia na palce
8;Wyciskanie na ławce
9;Pompka
10;Rozpiętki
11;Ściąganie drążka
12;Podciąganie
13;Wiosłowanie w opadzie
14;Wyciskanie nad głowę
15;Unoszenie bokiem
16;Szrugsy
17;Prostowanie ramion na wyciągu
18;Uginanie przedramion
19;Skręty tułowia
20;Prostowanie tułowia
21;Bułgarski przysiad
22;Hip thrust
23;Martwy ciąg rumuński
24;Przysiad przedni
25;Wyciskanie na skosie dodatnim
26;Dipy
27;Rozpiętki na bramie
28;Face pull
29;Odwodzenie ramion w opadzie (tylny bark)
30;Wiosłowanie siedząc
31;Wiosłowanie T-bar
32;Uginanie młotkowe
33;Prostowanie francuskie
34;Wykrok boczny
35;Wspięcia siedząc
36;Unoszenie nóg w zwisie
37;Ściąganie linek brzucha (cable crunch)
38;Pallof press
39;Prostowanie tricepsa nad głową
40;Wyciskanie Arnolda
